Dam,mxfrac,entrain_factor,EQN,D0,D1,D2
BON,0,0,62,16.16,0.02983,0
TDA,0,0,62,21.9,0.02109,0
JDA,0.2070539,0.3,62,11.04,0.05969,0
MCN,0.1763421,0.25,62,12.38,0.04007,0
PRD,1,0,30,34.9,-16.23,-0.002783
WAN,1,0,62,17.63,0.08495,0
RIS,0.9633741,1,62,21.6,0.007694,0
RRH,1,1,30,24.47,-47.83,-0.2692
WEL,1,1,62,20.56,0.05935,0
IHR,0,0.6,62,11.15,0.1009,0
LMN,0,1,30,22.12,-11.4,-0.03437
LGS,0.3290093,1,62,9.304,0.1675,0
LWG,0.107742,1.75,62,7.007,0.2261,0
CHJ,0.2358567,0,30,20.92,-14.74,-0.01815
DWR,1,0,30,36.65,-40.22,-0.3211
